Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_DG-ALNS,AvgResult_DG-ALNS,StdResult_DG-ALNS,AvgTime_DG-ALNS,SuccessRuns_DG-ALNS,FailedRuns_DG-ALNS,FirstError_DG-ALNS
Inst_m2_n10_pi2.0_TF0.6_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,1179.7900,1179.7900,0.0000,0.2406,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,2020.1000,2020.1000,0.0000,0.2405,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,1704.3300,1704.3300,0.0000,0.2404,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_1.txt,2,14,14×2,336.0000,0.3360,10,88.3100,88.3100,0.0000,0.3369,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_10.txt,2,14,14×2,336.0000,0.3360,10,116.0000,116.0000,0.0000,0.3366,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_2.txt,2,14,14×2,336.0000,0.3360,10,68.1000,68.1000,0.0000,0.3364,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_3.txt,2,14,14×2,336.0000,0.3360,10,193.8600,193.8600,0.0000,0.3365,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_4.txt,2,14,14×2,336.0000,0.3360,10,124.7100,124.7100,0.0000,0.3366,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_5.txt,2,14,14×2,336.0000,0.3360,10,214.6200,214.6200,0.0000,0.3367,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_6.txt,2,14,14×2,336.0000,0.3360,10,109.7000,109.7000,0.0000,0.3365,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_7.txt,2,14,14×2,336.0000,0.3360,10,142.5600,142.5600,0.0000,0.3368,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_8.txt,2,14,14×2,336.0000,0.3360,10,513.7000,513.7000,0.0000,0.3366,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_9.txt,2,14,14×2,336.0000,0.3360,10,477.2900,477.2900,0.0000,0.3368,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.6_1.txt,2,14,14×2,336.0000,0.3360,10,172.4800,172.4800,0.0000,0.3364,10,0,
