Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_GA,AvgResult_GA,StdResult_GA,AvgTime_GA,SuccessRuns_GA,FailedRuns_GA,FirstError_GA
Inst_m2_n10_pi2.0_TF0.6_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,1179.7900,1186.8190,22.2276,0.2416,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,2020.1000,2032.2690,17.6529,0.2421,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,1704.3300,1704.3300,0.0000,0.2423,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_1.txt,2,14,14×2,336.0000,0.3360,10,88.3100,89.3500,3.2191,0.3370,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_10.txt,2,14,14×2,336.0000,0.3360,10,116.0000,117.3230,2.1302,0.3369,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_2.txt,2,14,14×2,336.0000,0.3360,10,68.1000,68.3430,0.5124,0.3375,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_3.txt,2,14,14×2,336.0000,0.3360,10,193.8600,206.2850,11.3988,0.3374,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_4.txt,2,14,14×2,336.0000,0.3360,10,124.7100,126.3880,5.3063,0.3379,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_5.txt,2,14,14×2,336.0000,0.3360,10,214.6200,250.6040,20.1580,0.3373,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_6.txt,2,14,14×2,336.0000,0.3360,10,109.7000,110.5280,2.6184,0.3379,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_7.txt,2,14,14×2,336.0000,0.3360,10,142.5600,142.5600,0.0000,0.3382,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_8.txt,2,14,14×2,336.0000,0.3360,10,513.7000,543.3750,54.3364,0.3368,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.4_9.txt,2,14,14×2,336.0000,0.3360,10,477.2900,477.2900,0.0000,0.3375,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.6_1.txt,2,14,14×2,336.0000,0.3360,10,172.4800,181.8720,12.2795,0.3373,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.6_10.txt,2,14,14×2,336.0000,0.3360,10,246.3000,246.3000,0.0000,0.3382,10,0,
Inst_m2_n14_pi0.2_TF0.4_R0.6_2.txt,2,14,14×2,336.0000,0.3360,10,82.5900,94.7940,23.1979,0.3380,10,0,
